order_date,allocated_node,node_type,state,lat,lng,default_units,mechmax_units,uncap_units,mechmax_delta_units,uncap_delta_units,default_throughput,mechmax_throughput,default_tp_scaled,mechmax_tp_scaled,uncap_throughput,default_maxcap,mechmax_maxcap,uncap_maxcap,default_promise_miss_ol,mechmax_promise_miss_ol,uncap_promise_miss_ol,default_ol,mechmax_ol,uncap_ol,p_default_promise_miss_ol,p_mechmax_promise_miss_ol,p_uncap_promise_miss_ol
2022-05-15,1283,STR,CA,33.565642,-117.203908,989,1050,1024,61,35,199.6575342,53.74358974,20,5,0.102200102,876,1950,999999,148,550,537,815,850,838,0.181595092,0.647058824,0.640811456
2022-05-15,1360,STR,AZ,33.674884,-111.974585,826,401,460,-425,-366,82.33532934,22.48587571,8,2,0.045700046,1002,1770,999999,84,63,72,652,319,365,0.128834356,0.197492163,0.197260274
2022-05-15,1371,STR,SC,34.939136,-80.977854,1102,1238,1170,136,68,199.704142,36.81547619,20,4,0.116900117,1014,3360,999999,157,693,686,904,1033,980,0.173672566,0.670861568,0.7
2022-05-15,1393,STR,OH,39.16256,-84.274256,1824,972,873,-852,-951,105.8072009,28.86904762,11,3,0.087200087,1722,3360,999999,411,307,288,1506,787,723,0.272908367,0.390088945,0.398340249
2022-05-15,1409,STR,CA,33.853038,-118.139819,1523,845,760,-678,-763,103.633218,23.18681319,10,2,0.075900076,1734,3640,999999,179,126,117,1249,705,646,0.143314652,0.178723404,0.181114551
2022-05-15,1470,STR,AR,36.1157,-94.1555,578,373,369,-205,-209,87.5569044,18.88324873,9,2,0.036800037,659,1970,999999,311,239,233,514,320,316,0.605058366,0.746875,0.737341772
2022-05-15,1481,STR,IN,37.975406,-87.470714,564,1306,1317,742,753,199.0243902,99.61832061,20,10,0.131500132,410,1310,999999,98,424,427,483,1108,1116,0.202898551,0.38267148,0.382616487
2022-05-15,1492,STR,NY,43.083646,-75.315158,316,476,522,160,206,131.3207547,29.625,13,3,0.051400051,530,1600,999999,41,85,89,261,394,435,0.157088123,0.215736041,0.204597701
2022-05-15,1508,STR,NY,42.484933,-76.490598,349,484,521,135,172,113.9037433,24.5177665,11,2,0.052000052,748,1970,999999,42,95,102,278,377,401,0.151079137,0.25198939,0.25436409
2022-05-15,1519,STR,FL,28.549307,-81.704866,1261,925,879,-336,-382,110.6514085,27.30769231,11,3,0.087700088,1136,3380,999999,745,657,627,1007,742,716,0.739821251,0.885444744,0.875698324
2022-05-15,1805,STR,CA,36.292517,-119.316571,1397,1261,1204,-136,-193,114.5642901,41.76079734,11,4,0.12000012,1641,3010,999999,287,279,264,1108,998,957,0.259025271,0.279559118,0.275862069
2022-05-15,1816,STR,CA,32.813328,-115.567642,426,540,686,114,260,144.4247788,44.54545455,14,4,0.068500069,565,1210,999999,73,137,160,335,462,570,0.217910448,0.296536797,0.280701754
2022-05-15,1827,STR,VA,38.8952,-77.445838,1258,1092,1054,-166,-204,123.2520325,34.09375,12,3,0.105000105,1230,3200,999999,269,317,320,990,860,834,0.271717172,0.368604651,0.383693046
2022-05-15,1838,STR,AZ,33.296076,-111.899963,437,556,623,119,186,199.7679814,53.30097087,20,5,0.061600062,431,1030,999999,57,304,314,372,458,512,0.153225806,0.663755459,0.61328125
2022-05-15,1904,STR,TX,30.091615,-95.639736,569,504,638,-65,69,141.3098237,46.57407407,14,5,0.063700064,397,1080,999999,178,248,284,464,412,508,0.38362069,0.601941748,0.559055118
2022-05-15,1915,STR,NY,42.756495,-73.771077,301,858,1127,557,826,136,45.34391534,14,5,0.112600113,650,1890,999999,44,85,99,231,641,840,0.19047619,0.132605304,0.117857143
2022-05-15,1926,STR,CA,37.8832,-122.307,1906,1192,1061,-714,-845,78.77853177,24.8125,8,2,0.105900106,3242,4800,999999,478,398,369,1434,891,802,0.333333333,0.446689113,0.460099751
2022-05-15,1948,STR,NY,40.824959,-72.988953,2208,1950,1892,-258,-316,163.7152778,56.75438596,16,6,0.188300188,1728,3420,999999,371,717,708,1736,1536,1494,0.213709677,0.466796875,0.473895582
2022-05-15,1959,STR,AZ,33.322949,-111.689675,728,651,654,-77,-74,166.3516068,39.39393939,17,4,0.065300065,529,1650,999999,327,485,489,616,533,537,0.530844156,0.909943715,0.910614525
2022-05-15,2031,STR,NM,35.17275,-106.582,430,481,505,51,75,191.9270833,44.03669725,19,4,0.05040005,384,1090,999999,136,273,281,360,399,419,0.377777778,0.684210526,0.670644391
2022-05-15,2053,STR,TN,35.14642,-85.251508,616,804,822,188,206,199.6101365,78.03921569,20,8,0.081400081,513,1020,999999,102,467,467,509,654,661,0.200392927,0.714067278,0.706505295
2022-05-15,2064,STR,FL,27.836842,-82.684696,539,544,598,5,59,177.8251599,48.21428571,18,5,0.059400059,469,1120,999999,123,335,338,447,459,492,0.275167785,0.729847495,0.68699187
2022-05-15,2075,STR,PA,39.991215,-75.089745,401,1930,1857,1529,1456,199.3442623,58.27272727,20,6,0.185000185,305,3300,999999,62,507,512,333,1538,1502,0.186186186,0.329648895,0.340878828
2022-05-15,2130,STR,ME,43.934038,-69.985271,840,656,694,-184,-146,142.5714286,40.43478261,14,4,0.068900069,700,1610,999999,221,274,283,673,531,562,0.328380386,0.516007533,0.503558719
2022-05-15,2141,STR,NJ,40.715486,-74.284732,4932,3498,3404,-1434,-1528,199.8426436,67.82524272,20,7,0.33990034,2542,5150,999999,1228,1932,1924,4073,2938,2864,0.301497668,0.657590197,0.671787709
2022-05-15,2152,STR,TX,25.9686,-97.509487,336,266,269,-70,-67,48.87417219,12.55924171,5,1,0.026800027,755,2110,999999,174,139,144,303,234,236,0.574257426,0.594017094,0.610169492
2022-05-15,2163,STR,CA,33.62332,-117.682,53,556,510,503,457,198,17.28125,20,2,0.050700051,50,3200,999999,14,120,115,43,444,412,0.325581395,0.27027027,0.279126214
2022-05-15,2174,STR,GA,33.63339,-84.016216,506,725,886,219,380,158.8932806,65.72727273,16,7,0.088400088,506,1100,999999,92,195,217,395,573,703,0.232911392,0.340314136,0.308677098
2022-05-15,2185,STR,CA,37.666285,-122.120084,1174,689,566,-485,-608,49.87212276,13.38521401,5,1,0.056500057,2346,5140,999999,138,107,82,983,593,485,0.140386572,0.180438449,0.169072165
2022-05-15,2196,STR,FL,25.94055,-80.2911,504,358,357,-146,-147,67.65498652,7.4375,7,1,0.035600036,742,4800,999999,262,206,205,423,298,298,0.619385343,0.691275168,0.687919463
2022-05-15,2251,STR,WI,42.56441,-87.9284,252,593,829,341,577,131.5909091,64.94505495,13,6,0.082800083,440,910,999999,34,90,132,231,522,712,0.147186147,0.172413793,0.185393258
2022-05-15,2262,STR,PA,40.642337,-79.941313,1331,1023,961,-308,-370,148.1012658,31.625,15,3,0.096000096,1027,3200,999999,371,478,480,1070,837,794,0.346728972,0.571087216,0.604534005
2022-05-15,2284,STR,AR,35.341003,-94.388125,589,689,648,100,59,112.3859192,23.40136054,11,2,0.064600065,767,2940,999999,140,158,160,497,545,517,0.281690141,0.289908257,0.309477756
2022-05-15,2295,STR,NY,43.161815,-76.122579,193,499,465,306,272,109.5009597,15.5625,11,2,0.046400046,1042,3200,999999,40,68,57,142,367,343,0.281690141,0.185286104,0.166180758
2022-05-15,2350,STR,CA,34.574355,-118.047839,2081,1385,1257,-696,-824,105.8626466,43.1875,11,4,0.125400125,2388,3200,999999,158,112,89,1489,989,896,0.106111484,0.113245703,0.099330357
2022-05-15,2361,STR,CT,41.228735,-73.225326,1545,2322,2065,777,520,135.6896552,48.35416667,14,5,0.206400206,2320,4800,999999,238,491,468,1270,1867,1667,0.187401575,0.262988752,0.280743851
2022-05-15,2372,STR,AK,61.129094,-149.881696,603,603,603,0,0,66.83725691,23.42412451,7,2,0.06020006,977,2570,999999,415,415,415,416,416,416,0.997596154,0.997596154,0.997596154
2022-05-15,2383,STR,NE,41.214297,-96.108691,1299,1020,953,-279,-346,105.4135338,29.5335277,11,3,0.094600095,1330,3430,999999,269,263,255,1054,807,750,0.255218216,0.325898389,0.34
2022-05-15,2394,STR,MD,38.67245,-76.8732,1133,1017,967,-116,-166,112.229539,31.16564417,11,3,0.096600097,1063,3260,999999,125,125,120,891,752,723,0.140291807,0.166223404,0.165975104
2022-05-15,2471,STR,CA,33.680105,-117.172837,1859,1116,1021,-743,-838,105.154185,33.28358209,11,3,0.101700102,2270,3350,999999,183,117,106,1368,805,732,0.13377193,0.145341615,0.144808743
2022-05-15,2482,STR,CA,33.918693,-117.886971,1686,1401,1098,-285,-588,124.7486034,29.16666667,12,3,0.10970011,1790,4800,999999,511,576,526,1339,1141,904,0.381628081,0.504820333,0.581858407
2022-05-15,2493,STR,GA,33.942788,-83.752011,1180,883,970,-297,-210,133.1447964,78.75,13,8,0.096900097,884,1120,999999,295,339,347,927,683,741,0.318230852,0.496339678,0.4682861
2022-05-15,2570,STR,MA,42.348748,-71.504967,2183,939,893,-1244,-1290,108.5769046,29.3125,11,3,0.089200089,2087,3200,999999,529,331,316,1723,683,645,0.307022635,0.484626647,0.489922481
2022-05-15,2581,STR,CA,37.418112,-121.955506,698,940,900,242,202,140.4411765,34.96268657,14,3,0.08970009,1088,2680,999999,115,309,301,563,725,688,0.204262877,0.426206897,0.4375
2022-05-15,260,STR,MN,44.936939,-93.346785,914,711,875,-203,-39,109.2215569,66.69811321,11,7,0.087100087,835,1060,999999,512,491,579,784,608,700,0.653061224,0.807565789,0.827142857
2022-05-15,2608,STR,PA,40.566187,-75.560862,1405,1332,1388,-73,-17,133.0371567,45.86206897,13,5,0.138700139,1238,2900,999999,181,209,213,1126,1083,1128,0.160746004,0.192982456,0.188829787
2022-05-15,271,STR,CO,39.565063,-104.965672,334,227,341,-107,7,102.9776675,23.72340426,10,2,0.034000034,403,940,999999,49,44,58,285,192,279,0.171929825,0.229166667,0.207885305
2022-05-15,2729,STR,MA,42.589718,-71.159895,198,502,428,304,230,112.9068462,15.65625,11,2,0.042700043,891,3200,999999,25,77,56,147,417,344,0.170068027,0.184652278,0.162790698
2022-05-15,2790,STR,VA,38.872567,-77.229434,1631,1603,1364,-28,-267,113.3194589,33.35416667,11,3,0.136200136,1922,4800,999999,180,231,192,1353,1286,1114,0.133037694,0.17962675,0.172351885
2022-05-15,282,STR,MI,42.528515,-83.108536,1307,1253,1195,-54,-112,199.7757848,42.58503401,20,4,0.119400119,892,2940,999999,285,650,648,1018,990,951,0.279960707,0.656565657,0.681388013
2022-05-15,293,STR,CA,33.887729,-117.877297,147,428,767,281,620,126.3788969,39.17431193,13,4,0.076600077,417,1090,999999,31,47,88,114,353,614,0.271929825,0.133144476,0.143322476
2022-05-15,606,STR,WA,47.658217,-122.694049,223,287,363,64,140,131.7757009,27.23809524,13,3,0.036200036,535,1050,999999,27,64,84,180,232,287,0.15,0.275862069,0.292682927
2022-05-15,617,STR,ID,43.610581,-116.285758,1083,906,894,-177,-189,92.3857868,51.07954545,9,5,0.088700089,1182,1760,999999,657,579,574,946,802,793,0.694503171,0.721945137,0.723833544
2022-05-15,628,STR,WA,46.142714,-122.899321,709,562,588,-147,-121,158.9670014,34.9375,16,3,0.058700059,697,1600,999999,214,337,352,626,494,520,0.341853035,0.682186235,0.676923077
2022-05-15,639,STR,AZ,33.388909,-111.683474,410,432,509,22,99,182.7906977,36.4957265,18,4,0.05040005,430,1170,999999,56,258,283,347,357,420,0.161383285,0.722689076,0.673809524
2022-05-15,738,STR,CA,37.75779,-121.458451,587,1047,1058,460,471,199.8134328,102.1782178,20,10,0.104600105,536,1010,999999,104,543,571,488,830,843,0.213114754,0.654216867,0.677342823
2022-05-15,804,STR,IA,43.149783,-93.253369,1134,1108,1076,-26,-58,108.0246914,46.125,11,5,0.107500108,1134,2400,999999,170,158,156,910,855,821,0.186813187,0.184795322,0.19001218
2022-05-15,815,STR,FL,26.15405,-80.318536,1125,1174,1082,49,-43,149.57102,22.73255814,15,2,0.108100108,1049,5160,999999,327,571,539,931,987,906,0.351235231,0.57852077,0.594922737
2022-05-15,826,STR,NV,36.21954,-115.25,1106,731,702,-375,-404,66.34615385,25.795053,7,3,0.07000007,1664,2830,999999,347,287,278,894,578,555,0.388143177,0.496539792,0.500900901
2022-05-15,837,STR,IL,41.905597,-87.843955,2396,1377,1037,-1019,-1359,100.8,27.63052209,10,3,0.103600104,2375,4980,999999,791,537,484,1974,1162,880,0.40070922,0.462134251,0.55
2022-05-15,848,STR,SD,45.457452,-98.440585,362,256,318,-106,-44,102.0790021,24.51923077,10,2,0.031700032,481,1040,999999,44,39,55,296,214,257,0.148648649,0.182242991,0.214007782
2022-05-15,859,STR,SD,44.888651,-97.083451,583,645,781,62,198,120.3145478,61.73076923,12,6,0.077800078,763,1040,999999,110,159,178,467,526,636,0.235546039,0.302281369,0.279874214
2022-05-15,9335,DC,IN,39.74688,-86.294,34953,29427,28680,-5526,-6273,99.77447902,2.942502943,10,0,2.867802868,35030,999999,999999,10216,9767,9621,30215,25353,24740,0.33811021,0.385240405,0.388884398
2022-05-15,9434,DC,OR,44.5776,-123.109,35660,35867,35673,207,13,139.1493221,3.586603587,14,0,3.567203567,41896,999999,999999,16713,21186,21097,32687,32685,32537,0.511304188,0.648187242,0.648400283
2022-05-15,947,STR,TX,32.862745,-96.854439,1057,955,965,-102,-92,132.0400501,31.90635452,13,3,0.096400096,799,2990,999999,304,393,389,851,774,774,0.357226792,0.507751938,0.502583979
2022-05-15,9478,DC,AZ,32.087575,-110.799394,62385,64838,64505,2453,2120,154.324975,6.483606484,15,1,6.45030645,68116,999999,999999,22999,35920,35767,54164,56183,55913,0.424617827,0.639339302,0.639690233
2022-05-15,95,STR,TX,30.362314,-97.715779,948,630,588,-318,-360,89.62892483,18.29912023,9,2,0.058200058,1051,3410,999999,405,295,289,826,527,496,0.49031477,0.559772296,0.58266129
2022-05-15,958,STR,KY,36.949291,-86.43625,1516,856,825,-660,-691,101.2700535,29.08163265,10,3,0.082300082,1496,2940,999999,260,212,211,1288,758,724,0.201863354,0.279683377,0.291436464
2022-05-16,1031,STR,MO,37.15155,-93.262384,499,492,517,-7,18,131.7647059,44.63636364,13,4,0.051600052,425,1100,999999,109,157,161,397,392,409,0.274559194,0.400510204,0.393643032
2022-05-16,1064,STR,WA,47.438438,-120.327383,701,441,410,-260,-291,111.4478114,15.75539568,11,2,0.040800041,1188,2780,999999,112,109,104,546,357,328,0.205128205,0.305322129,0.317073171
2022-05-16,1097,STR,CA,38.943459,-121.095909,553,538,598,-15,45,147.2457627,53.16831683,15,5,0.05970006,472,1010,999999,104,130,143,425,427,471,0.244705882,0.304449649,0.303609342
2022-05-16,1185,STR,MN,45.013767,-93.009068,999,887,908,-112,-91,96.57794677,27.59375,10,3,0.09040009,1052,3200,999999,297,303,325,860,751,770,0.345348837,0.403462051,0.422077922
2022-05-16,1196,STR,PA,40.224163,-75.137097,614,1247,1458,633,844,190.7993967,70.79545455,19,7,0.145700146,663,1760,999999,42,155,189,507,1006,1179,0.082840237,0.154075547,0.160305344
2022-05-16,1251,STR,MI,42.706427,-83.29106,586,958,979,372,393,198.9873418,94,20,9,0.096100096,395,1000,999999,76,324,324,491,777,792,0.154786151,0.416988417,0.409090909
2022-05-16,1284,STR,WA,47.70897,-122.325012,616,482,452,-134,-164,120.6001622,16.23287671,12,2,0.044400044,1233,2920,999999,49,62,55,491,371,353,0.099796334,0.167115903,0.155807365
2022-05-16,1295,STR,MD,38.998652,-76.906711,1054,821,871,-233,-183,121.5919488,29.81818182,12,3,0.087000087,1093,2750,999999,91,106,109,817,650,693,0.111383109,0.163076923,0.157287157
2022-05-16,1350,STR,IN,39.959298,-86.009396,667,739,857,72,190,153.9227895,41.17318436,15,4,0.085200085,803,1790,999999,84,126,165,529,607,688,0.15879017,0.207578254,0.239825581
2022-05-16,1372,STR,CO,39.916352,-104.9751,599,395,377,-204,-222,59.22242315,12.3125,6,1,0.037600038,1106,3200,999999,69,58,50,485,328,305,0.142268041,0.176829268,0.163934426
2022-05-16,1383,STR,CA,33.87942,-117.961619,2294,1796,1713,-498,-581,143.0041152,55.65217391,14,6,0.170900171,1944,3220,999999,507,664,647,1806,1389,1323,0.280730897,0.478041757,0.48904006
2022-05-16,1394,STR,GA,34.1857,-84.134116,1925,1104,1025,-821,-900,103.7120869,32.34604106,10,3,0.102400102,2209,3410,999999,415,347,341,1581,927,874,0.262492094,0.374325782,0.390160183
2022-05-16,1460,STR,IL,41.568789,-87.634284,645,1504,1440,859,795,199.8310811,46.69781931,20,5,0.143500144,592,3210,999999,66,270,263,506,1252,1200,0.130434783,0.215654952,0.219166667
2022-05-16,1471,STR,CO,39.715366,-104.821198,1109,771,691,-338,-418,74.66581795,16.04166667,7,2,0.069000069,1571,4800,999999,182,146,123,827,576,508,0.220072551,0.253472222,0.242125984
2022-05-16,1482,STR,MI,42.831116,-86.092003,532,664,736,132,204,135.3846154,32.98507463,14,3,0.073300073,520,2010,999999,47,80,99,456,567,627,0.103070175,0.141093474,0.157894737
2022-05-16,1493,STR,SC,33.040283,-80.157735,939,1254,1238,315,299,185.6630824,64.05128205,19,6,0.123300123,837,1950,999999,144,400,399,730,976,975,0.197260274,0.409836066,0.409230769
2022-05-16,1509,STR,MO,38.50674,-90.339126,715,879,957,164,242,167.1726755,101.6470588,17,10,0.095500096,527,850,999999,166,305,321,605,721,786,0.274380165,0.423023578,0.408396947
2022-05-16,151,STR,TN,35.922124,-84.047781,1027,1472,1458,445,431,199.8559078,52.91366906,20,5,0.145700146,694,2780,999999,117,404,409,847,1253,1248,0.138134593,0.322426177,0.327724359
2022-05-16,162,STR,AR,34.788416,-92.228336,467,662,634,195,167,131.9256757,21.85430464,13,2,0.063200063,592,3020,999999,97,178,175,388,547,525,0.25,0.325411335,0.333333333
2022-05-16,1790,STR,FL,28.36954,-81.4072,978,572,472,-406,-506,68.47826087,10.6728972,7,1,0.047100047,1840,5350,999999,165,151,123,773,449,359,0.213454075,0.336302895,0.342618384
2022-05-16,1828,STR,WV,39.311828,-80.27442,1427,912,843,-515,-584,109.079602,26.5497076,11,3,0.083900084,1608,3420,999999,183,148,140,1158,716,664,0.158031088,0.206703911,0.210843373
2022-05-16,1927,STR,CA,37.252092,-121.860045,1177,955,928,-222,-249,132.2306238,34.52898551,13,3,0.092600093,1058,2760,999999,155,197,192,938,770,753,0.165245203,0.255844156,0.25498008
2022-05-16,1938,STR,MD,39.189988,-76.610587,808,724,944,-84,136,133.7320574,38.60962567,13,4,0.094300094,836,1870,999999,76,97,117,643,565,725,0.118195956,0.171681416,0.16137931
2022-05-16,1949,STR,WV,39.649432,-80.000996,659,778,775,119,116,118.018018,26.39455782,12,3,0.077400077,777,2940,999999,68,85,87,539,630,618,0.126159555,0.134920635,0.140776699
2022-05-16,195,STR,CA,33.798438,-118.123236,768,846,870,78,102,162.0603015,39.81132075,16,4,0.086800087,796,2120,999999,135,251,258,683,745,761,0.197657394,0.336912752,0.339027595
2022-05-16,2010,STR,NE,41.318745,-96.026913,509,675,710,166,201,165.0549451,41.5625,17,4,0.07000007,455,1600,999999,64,113,122,424,548,582,0.150943396,0.20620438,0.209621993
2022-05-16,2021,STR,CO,39.788605,-105.112381,711,475,388,-236,-323,50.61728395,9.8125,5,1,0.038400038,1458,4800,999999,83,50,43,559,357,286,0.148479428,0.140056022,0.15034965
2022-05-16,2032,STR,FL,28.595167,-81.288126,250,300,409,50,159,163.4615385,26.69642857,16,3,0.040800041,364,1120,999999,39,105,126,203,230,317,0.192118227,0.456521739,0.397476341
2022-05-16,2043,STR,KS,38.950386,-94.718861,872,740,685,-132,-187,108.1788441,23.09375,11,2,0.068400068,917,3200,999999,177,192,180,723,578,539,0.244813278,0.332179931,0.333951763
2022-05-16,2065,STR,FL,26.593154,-80.202937,912,697,606,-215,-306,96.89795918,14.45833333,10,1,0.06030006,1225,4800,999999,259,223,210,716,519,449,0.361731844,0.429672447,0.467706013
2022-05-16,2076,STR,NY,41.505295,-74.058212,1688,1892,2197,204,509,199.8091603,105.0555556,20,11,0.219300219,1048,1800,999999,231,469,553,1369,1454,1687,0.168736304,0.322558459,0.32780083
2022-05-16,2087,STR,IL,41.720997,-87.724964,996,1385,1288,389,292,181.4006889,38.33795014,18,4,0.128700129,871,3610,999999,120,294,283,855,1140,1082,0.140350877,0.257894737,0.26155268
2022-05-16,2098,STR,MO,36.673721,-93.225692,1025,821,806,-204,-219,111.0229976,28.67132867,11,3,0.080500081,1261,2860,999999,168,187,189,867,692,676,0.193771626,0.270231214,0.279585799
2022-05-16,2120,STR,NH,42.928188,-72.301906,696,334,389,-362,-307,112.6891735,20.8125,11,2,0.038800039,859,1600,999999,71,64,72,538,273,315,0.13197026,0.234432234,0.228571429
2022-05-16,2131,STR,PA,40.211011,-75.497971,941,1611,1707,670,766,198.5754986,100.5625,20,10,0.170500171,702,1600,999999,164,755,771,784,1314,1367,0.209183673,0.574581431,0.564008778
2022-05-16,2142,STR,TX,33.129074,-96.731176,942,853,814,-89,-128,112.4724062,26.5625,11,3,0.081300081,906,3200,999999,188,212,197,763,683,650,0.246395806,0.310395315,0.303076923
2022-05-16,2153,STR,AL,33.608825,-85.783182,516,876,865,360,349,173.6311239,29.36241611,17,3,0.086400086,694,2980,999999,35,155,156,358,667,646,0.097765363,0.232383808,0.241486068
2022-05-16,2164,STR,NV,36.04072,-115.194644,429,643,663,214,234,198.1176471,57.83783784,20,6,0.066200066,425,1110,999999,44,195,195,327,503,511,0.134556575,0.387673956,0.381604697
2022-05-16,2175,STR,VA,38.3448,-77.4932,1429,902,873,-527,-556,113.4696017,28.09375,11,3,0.087000087,1908,3200,999999,196,194,189,1196,756,744,0.163879599,0.256613757,0.254032258
2022-05-16,2186,STR,PA,40.246129,-76.806682,1291,1227,1251,-64,-40,195.1779564,62.87179487,20,6,0.125000125,871,1950,999999,244,546,547,1064,1030,1046,0.229323308,0.530097087,0.522944551
2022-05-16,2197,STR,CO,39.958717,-104.995118,474,514,585,40,111,128.8372093,48.85714286,13,5,0.058400058,430,1050,999999,93,118,127,354,404,440,0.262711864,0.292079208,0.288636364
2022-05-16,2230,STR,MI,42.366765,-83.33477,416,370,635,-46,219,146.2566845,36.53465347,15,4,0.063400063,374,1010,999999,49,68,106,314,281,495,0.156050955,0.241992883,0.214141414
2022-05-16,2241,STR,PA,39.942443,-77.631706,865,1813,1846,948,981,199.4350282,100.2222222,20,10,0.184500185,708,1800,999999,161,605,608,675,1412,1436,0.238518519,0.428470255,0.423398329
2022-05-16,2252,STR,CA,37.15759,-121.654,539,418,573,-121,34,130.1136364,42.44897959,13,4,0.057100057,528,980,999999,60,71,88,415,320,426,0.144578313,0.221875,0.20657277
2022-05-16,2274,STR,AL,32.457557,-86.395508,853,661,663,-192,-190,108.5176991,23.75451264,11,2,0.066200066,904,2770,999999,137,144,142,687,545,535,0.199417758,0.264220183,0.265420561
2022-05-16,2296,STR,VA,37.258955,-76.641055,3,193,191,190,188,100,6.981818182,10,1,0.019000019,2,2750,999999,1,30,30,3,148,147,0.333333333,0.202702703,0.204081633
2022-05-16,2340,STR,MN,44.7488,-93.2888,2003,1199,885,-804,-1118,72.3265896,24.95833333,7,2,0.088400088,2768,4800,999999,480,353,254,1487,887,637,0.322797579,0.397970688,0.398744113
2022-05-16,2362,STR,TN,35.74154,-86.937825,1430,936,902,-494,-528,108.168643,28.85448916,11,3,0.08980009,1518,3230,999999,178,160,148,1084,734,713,0.164206642,0.217983651,0.207573633
2022-05-16,2373,STR,IL,41.963561,-87.656393,2774,1711,1589,-1063,-1185,105.0301811,32.75862069,11,3,0.158800159,2982,5220,999999,417,323,308,2181,1260,1195,0.191196699,0.256349206,0.257740586
2022-05-16,2384,STR,NJ,39.764985,-75.132122,1679,1565,1542,-114,-137,138.4146341,46.76646707,14,5,0.153900154,1640,3340,999999,184,249,245,1320,1272,1227,0.139393939,0.195754717,0.199674002
2022-05-16,2395,STR,NC,34.999776,-80.69596,402,869,954,467,552,199,84.27184466,20,8,0.095300095,400,1030,999999,41,343,359,340,717,770,0.120588235,0.478382148,0.466233766
2022-05-16,2450,STR,OH,39.934578,-82.792794,1026,871,813,-155,-213,122.1748401,29.25170068,12,3,0.081100081,938,2940,999999,149,142,138,875,729,691,0.170285714,0.19478738,0.199710564
2022-05-16,2461,STR,NY,42.965271,-74.190215,26,275,288,249,262,199.1452991,17.125,20,2,0.028700029,117,1600,999999,12,49,54,21,216,227,0.571428571,0.226851852,0.237885463
2022-05-16,2472,STR,NV,39.535435,-119.716892,739,533,535,-206,-204,86.97972252,20.38314176,9,2,0.053400053,937,2610,999999,187,168,167,579,411,411,0.322970639,0.408759124,0.406326034
